D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,{1},{2},{3},{4},{5},{6},{7},{8},{9},{10},{11},{12},{13},{14},{15},{16},{17},{18},{19},{20},{21},{22},{23},{24},{25},{26},{27},{28},{29},{30},summary,sample,pre
lxl,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,4.00,45.00
std,1.847,2.092,2.973,7.906,6.722,7.032,6.609,6.430,6.507,6.833,6.786,5.282,3.293,6.504,6.370,6.819,6.028,4.685,4.251,4.794,5.980,5.563,4.830,3.973,3.738,4.741,5.511,5.435,4.871,4.110,1.847,2.092,2.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.293,0.000,0.000,0.000,0.000,4.685,4.251,4.794,0.000,0.000,4.830,3.973,3.738,4.741,0.000,0.000,4.871,4.110,50.199
,ok,ok,ok,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok,ok,ok,ok(but time out),ok(but time out),ok,ok,ok,ok,ok(but time out),ok(but time out),ok,ok,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,
czr,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,91.00
sol,3.138,3.264,3.132,3.177,1.936,1.993,2.360,2.237,1.978,2.294,2.970,3.403,2.676,6.806,5.605,7.070,3.376,1.967,1.766,1.850,1.866,2.925,3.102,2.893,2.883,1.792,1.813,1.802,1.707,1.711,3.138,3.264,3.132,3.177,1.936,1.993,2.360,2.237,1.978,2.294,2.970,3.403,2.676,0.000,0.000,0.000,3.376,1.967,1.766,1.850,1.866,2.925,3.102,2.893,2.883,1.792,1.813,1.802,1.707,1.711,66.011
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok(but time out),ok(but time out),ok(but time out),ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,
czr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bf,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,
czr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sol_tle,13.513,0.000,0.000,7.670,14.570,14.857,10.341,11.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.488,14.249,13.637,13.278,11.850,7.251,14.007,13.861,14.084,6.553,13.744,12.144,13.297,13.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,ok(but time out),Time out.,Time out.,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 3.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,Total 4.0,
